scftype;dfttype;tddft;basis;molecule;number_of_state;state_energy_eV_GS;state_energy_Hartree;state_symmetry;state_dominant_trans;state_squared_S;state_transition;state_transition_dipole_x;state_transition_dipole_y;state_transition_dipole_z;state_oscillator_strength;Number_of_bf;Mol_symmetry;total_energy_Hartree;log_index;mrsf_hf;mrsf_betac;mrsf_aee;mrsf_beta;mrsf_spc;Log_file
UHF;BHHLYP;MRSF;6-31G(d);thymine;1;0.0;-453.8727176792;A;(34, 33, -0.987209);0.0;[(34, 33, -0.987209), (33, 34, -0.070888), (33, 33, 0.064769), (34, 35, 0.060712)];0.0;0.0;0.0;0.0;147;;-453.7527137901;1;0.0;0.0;0.0;0.0;0.0;uhf_mrsfs_thymine_631gd_bhhlyp_1.log
UHF;BHHLYP;MRSF;6-31G(d);thymine;2;5.620405107890759;-453.6661663921;A;(23, 33, -0.902822);0.0;[(23, 33, -0.902822), (32, 33, 0.279603), (23, 34, 0.245162), (32, 34, -0.125447), (23, 35, -0.120728)];-0.0015;-0.0004;0.0992;0.0014;147;;-453.7527137901;1;0.0;0.0;0.0;0.0;0.0;uhf_mrsfs_thymine_631gd_bhhlyp_1.log
UHF;BHHLYP;MRSF;6-31G(d);thymine;3;5.835877759619509;-453.6582477185;A;(33, 33, -0.977656);0.0;[(33, 33, -0.977656), (34, 35, -0.07948), (34, 33, -0.076617), (31, 35, -0.074518), (24, 33, -0.064987), (30, 34, -0.060384)];0.103;1.5363;0.0009;0.339;147;;-453.7527137901;1;0.0;0.0;0.0;0.0;0.0;uhf_mrsfs_thymine_631gd_bhhlyp_1.log
UHF;BHHLYP;MRSF;6-31G(d);thymine;4;6.897026232873624;-453.6192502479;A;(31, 33, -0.917246);0.0;[(31, 33, -0.917246), (31, 34, 0.20958), (34, 35, -0.18694), (31, 35, -0.129759), (27, 34, 0.11936), (27, 33, -0.1126), (33, 35, -0.087229), (30, 34, -0.075927), (24, 34, 0.056473), (27, 35, -0.054348), (33, 34, -0.054287)];-0.4184;-1.5318;-0.0016;0.4261;147;;-453.7527137901;1;0.0;0.0;0.0;0.0;0.0;uhf_mrsfs_thymine_631gd_bhhlyp_1.log
UHF;BHHLYP;MRSF;6-31G(d);thymine;5;7.241710803742941;-453.6065830041;A;(32, 33, -0.905662);0.0;[(32, 33, -0.905662), (23, 33, -0.293845), (32, 35, -0.201805), (23, 34, -0.113179), (23, 35, -0.106556), (32, 34, -0.091992), (26, 33, 0.056781), (29, 33, 0.053433)];0.0116;0.0107;-0.0459;0.0004;147;;-453.7527137901;1;0.0;0.0;0.0;0.0;0.0;uhf_mrsfs_thymine_631gd_bhhlyp_1.log
UHF;BHHLYP;MRSF;6-31G(d);thymine;6;7.377544999106825;-453.6015910636;A;(34, 35, -0.935127);0.0;[(34, 35, -0.935127), (31, 33, 0.204909), (34, 39, -0.148462), (34, 42, 0.132832), (33, 33, 0.09932), (27, 33, -0.065111), (24, 33, -0.056232), (34, 33, -0.055224), (33, 42, -0.054616)];-1.7033;-0.4444;-0.0007;0.5601;147;;-453.7527137901;1;0.0;0.0;0.0;0.0;0.0;uhf_mrsfs_thymine_631gd_bhhlyp_1.log
UHF;BHHLYP;MRSF;6-31G(d);thymine;7;7.546706650307749;-453.5953743308;A;(34, 36, 0.958223);0.0;[(34, 36, 0.958223), (34, 37, -0.12963), (34, 41, -0.126199), (33, 36, 0.107618), (34, 40, 0.106863), (34, 38, -0.088666)];0.0297;0.011;0.0003;0.0002;147;;-453.7527137901;1;0.0;0.0;0.0;0.0;0.0;uhf_mrsfs_thymine_631gd_bhhlyp_1.log
UHF;BHHLYP;MRSF;6-31G(d);thymine;8;8.499004065114613;-453.5603771637;A;(30, 33, 0.77756);0.0;[(30, 33, 0.77756), (33, 35, 0.328127), (34, 39, -0.300032), (34, 42, 0.198047), (21, 33, 0.174428), (27, 34, 0.164801), (30, 34, 0.145442), (24, 33, -0.143488), (34, 35, 0.135487), (31, 34, 0.087823), (30, 35, 0.063482), (33, 34, 0.057962)];-0.689;0.1106;0.0008;0.1014;147;;-453.7527137901;1;0.0;0.0;0.0;0.0;0.0;uhf_mrsfs_thymine_631gd_bhhlyp_1.log
UHF;BHHLYP;MRSF;6-31G(d);thymine;9;8.98633810490154;-453.5424675164;A;(34, 37, -0.682999);0.0;[(34, 37, -0.682999), (29, 33, 0.470674), (28, 33, -0.293124), (34, 40, 0.234703), (23, 34, 0.184867), (26, 33, 0.165418), (34, 36, -0.13909), (34, 41, -0.132628), (32, 35, 0.100145), (23, 35, -0.099364), (34, 45, -0.069456), (23, 33, 0.059864), (23, 42, 0.059011), (18, 33, -0.057816), (29, 34, -0.050337)];-0.0041;0.0064;-0.0669;0.001;147;;-453.7527137901;1;0.0;0.0;0.0;0.0;0.0;uhf_mrsfs_thymine_631gd_bhhlyp_1.log
UHF;BHHLYP;MRSF;6-31G(d);thymine;10;9.012988708015124;-453.5414881001;A;(34, 37, -0.59647);0.0;[(34, 37, -0.59647), (29, 33, -0.518474), (28, 33, 0.425986), (23, 34, -0.204577), (34, 40, 0.173283), (26, 33, -0.138783), (32, 35, -0.122878), (23, 35, 0.106899), (34, 36, -0.090314), (34, 41, -0.086232), (25, 33, 0.076836), (34, 45, -0.075971), (23, 33, -0.072326), (23, 42, -0.067272), (29, 34, 0.062966), (23, 39, 0.059158), (18, 33, 0.057823)];-0.0038;0.0064;-0.133;0.0039;147;;-453.7527137901;1;0.0;0.0;0.0;0.0;0.0;uhf_mrsfs_thymine_631gd_bhhlyp_1.log
